source_index,edit_index,model,similarity,face_detected,confidence,output_url
14,1,nb2_ref,0.6077960729598999,true,0.8176238536834717,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj27vr9tryhyfa2tfs828v.png
14,2,nb2_ref,0.4356468617916107,true,0.8616012930870056,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj2kdtn5atkmrk60j0j07x.png
14,3,nb2_ref,0.6722723245620728,true,0.8348821401596069,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj3gb8nkm662298xr330ft.png
14,4,nb2_ref,0.5767444372177124,true,0.8945932388305664,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj40gcp5z290ah4rq8swbg.png
14,5,nb2_ref,0.6095899343490601,true,0.8145349025726318,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj4w77rrqtshm00jje1vez.png
21,1,nb2_ref,0.5031605958938599,true,0.6421038508415222,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj5e6pe8e6c573nzx90swv.png
21,2,nb2_ref,0.41992175579071045,true,0.7442082166671753,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj5zsp74rpjybkv1n00y27.png
21,3,nb2_ref,0.5446406006813049,true,0.7953330278396606,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj6z3bpq6fxnqy5x2bt90h.png
21,4,nb2_ref,0.5126437544822693,true,0.8902736306190491,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj7qj8awvenspkqtdh0hdb.png
21,5,nb2_ref,0.5008168816566467,true,0.705828845500946,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmtj8b285es6rkh7jz079ya6.png
